,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn
45,A002,R051,02-00-01,05-01-11,16:00:00,REGULAR,3094828,659048
46,A002,R051,02-00-01,05-01-11,20:00:00,REGULAR,3095033,659097
47,A002,R051,02-00-01,05-02-11,00:00:00,REGULAR,3095116,659109
48,A002,R051,02-00-01,05-02-11,04:00:00,REGULAR,3095120,659111
49,A002,R051,02-00-01,05-02-11,08:00:00,REGULAR,3095156,659150
50,A002,R051,02-00-01,05-02-11,12:00:00,REGULAR,3095295,659308
51,A002,R051,02-00-01,05-02-11,16:00:00,REGULAR,3095555,659356
52,A002,R051,02-00-01,05-02-11,20:00:00,REGULAR,3096243,659404
53,A002,R051,02-00-01,05-03-11,00:00:00,REGULAR,3096385,659420
54,A002,R051,02-00-01,05-03-11,04:00:00,REGULAR,3096393,659423
55,A002,R051,02-00-01,05-03-11,08:00:00,REGULAR,3096430,659481
56,A002,R051,02-00-01,05-03-11,12:00:00,REGULAR,3096582,659645
57,A002,R051,02-00-01,05-03-11,16:00:00,REGULAR,3096858,659697
58,A002,R051,02-00-01,05-03-11,20:00:00,REGULAR,3097602,659752
59,A002,R051,02-00-01,05-04-11,00:00:00,REGULAR,3097762,659771
60,A002,R051,02-00-01,05-04-11,04:00:00,REGULAR,3097770,659772
61,A002,R051,02-00-01,05-04-11,08:00:00,REGULAR,3097807,659825
62,A002,R051,02-00-01,05-04-11,12:00:00,REGULAR,3097989,659996
63,A002,R051,02-00-01,05-04-11,16:00:00,REGULAR,3098256,660040
64,A002,R051,02-00-01,05-04-11,20:00:00,REGULAR,3098956,660094
65,A002,R051,02-00-01,05-05-11,00:00:00,REGULAR,3099085,660121
66,A002,R051,02-00-01,05-05-11,04:00:00,REGULAR,3099098,660123
67,A002,R051,02-00-01,05-05-11,08:00:00,REGULAR,3099132,660164
75,A002,R051,02-00-01,05-06-11,00:00:00,REGULAR,3100468,660502
76,A002,R051,02-00-01,05-06-11,04:00:00,REGULAR,3100498,660504
77,A002,R051,02-00-01,05-06-11,08:00:00,REGULAR,3100531,660564
78,A002,R051,02-00-01,05-06-11,12:00:00,REGULAR,3100687,660732
79,A002,R051,02-00-01,05-06-11,16:00:00,REGULAR,3100981,660771
80,A002,R051,02-00-01,05-06-11,20:00:00,REGULAR,3101676,660812
81,A002,R051,02-03-00,05-01-11,00:00:00,REGULAR,1287189,4586278
82,A002,R051,02-03-00,05-01-11,04:00:00,REGULAR,1287206,4586303
83,A002,R051,02-03-00,05-01-11,08:00:00,REGULAR,1287212,4586328
84,A002,R051,02-03-00,05-01-11,12:00:00,REGULAR,1287232,4586527
85,A002,R051,02-03-00,05-01-11,16:00:00,REGULAR,1287292,4586785
86,A002,R051,02-03-00,05-01-11,20:00:00,REGULAR,1287380,4587045
87,A002,R051,02-03-00,05-02-11,00:00:00,REGULAR,1287421,4587141
88,A002,R051,02-03-00,05-02-11,04:00:00,REGULAR,1287425,4587147
89,A002,R051,02-03-00,05-02-11,08:00:00,REGULAR,1287440,4587410
90,A002,R051,02-03-00,05-02-11,12:00:00,REGULAR,1287507,4588175
91,A002,R051,02-03-00,05-02-11,16:00:00,REGULAR,1287612,4588498
92,A002,R051,02-03-00,05-02-11,20:00:00,REGULAR,1287890,4589071
93,A002,R051,02-03-00,05-03-11,00:00:00,REGULAR,1287970,4589221
94,A002,R051,02-03-00,05-03-11,04:00:00,REGULAR,1287975,4589237
95,A002,R051,02-03-00,05-03-11,08:00:00,REGULAR,1287989,4589518
96,A002,R051,02-03-00,05-03-11,12:00:00,REGULAR,1288060,4590346
97,A002,R051,02-03-00,05-03-11,16:00:00,REGULAR,1288170,4590719
98,A002,R051,02-03-00,05-03-11,20:00:00,REGULAR,1288444,4591303
99,A002,R051,02-03-00,05-04-11,00:00:00,REGULAR,1288518,4591476
100,A002,R051,02-03-00,05-04-11,04:00:00,REGULAR,1288526,4591486
101,A002,R051,02-03-00,05-04-11,08:00:00,REGULAR,1288545,4591767
102,A002,R051,02-03-00,05-04-11,12:00:00,REGULAR,1288623,4592548
103,A002,R051,02-03-00,05-04-11,16:00:00,REGULAR,1288768,4592896
104,A002,R051,02-03-00,05-04-11,20:00:00,REGULAR,1289027,4593511
105,A002,R051,02-03-00,05-05-11,00:00:00,REGULAR,1289103,4593652
106,A002,R051,02-03-00,05-05-11,04:00:00,REGULAR,1289109,4593663
107,A002,R051,02-03-00,05-05-11,08:00:00,REGULAR,1289119,4593931
114,A002,R051,02-03-00,05-06-11,00:00:00,REGULAR,1289679,4595797
115,A002,R051,02-03-00,05-06-11,04:00:00,REGULAR,1289685,4595816
116,A002,R051,02-03-00,05-06-11,08:00:00,REGULAR,1289693,4596079
117,A002,R051,02-03-00,05-06-11,12:00:00,REGULAR,1289730,4596848
118,A002,R051,02-03-00,05-06-11,16:00:00,REGULAR,1289838,4597228
119,A002,R051,02-03-00,05-06-11,20:00:00,REGULAR,1290130,4597795
120,A002,R051,02-03-01,05-01-11,00:00:00,REGULAR,2846551,4387392
121,A002,R051,02-03-01,05-01-11,04:00:00,REGULAR,2846593,4387444
122,A002,R051,02-03-01,05-01-11,08:00:00,REGULAR,2846616,4387487
123,A002,R051,02-03-01,05-01-11,12:00:00,REGULAR,2846691,4387729
124,A002,R051,02-03-01,05-01-11,16:00:00,REGULAR,2846884,4388044
125,A002,R051,02-03-01,05-01-11,20:00:00,REGULAR,2847105,4388382
126,A002,R051,02-03-01,05-02-11,00:00:00,REGULAR,2847255,4388497
127,A002,R051,02-03-01,05-02-11,04:00:00,REGULAR,2847271,4388513
128,A002,R051,02-03-01,05-02-11,08:00:00,REGULAR,2847314,4388799
129,A002,R051,02-03-01,05-02-11,12:00:00,REGULAR,2847480,4389484
130,A002,R051,02-03-01,05-02-11,16:00:00,REGULAR,2847721,4389876
131,A002,R051,02-03-01,05-02-11,20:00:00,REGULAR,2848334,4390414
132,A002,R051,02-03-01,05-03-11,00:00:00,REGULAR,2848581,4390574
133,A002,R051,02-03-01,05-03-11,04:00:00,REGULAR,2848601,4390593
134,A002,R051,02-03-01,05-03-11,08:00:00,REGULAR,2848661,4390850
135,A002,R051,02-03-01,05-03-11,12:00:00,REGULAR,2848843,4391562
136,A002,R051,02-03-01,05-03-11,16:00:00,REGULAR,2849114,4391904
137,A002,R051,02-03-01,05-03-11,20:00:00,REGULAR,2849726,4392448
138,A002,R051,02-03-01,05-04-11,00:00:00,REGULAR,2849963,4392650
139,A002,R051,02-03-01,05-04-11,04:00:00,REGULAR,2849991,4392671
140,A002,R051,02-03-01,05-04-11,08:00:00,REGULAR,2850052,4392909
141,A002,R051,02-03-01,05-04-11,12:00:00,REGULAR,2850228,4393746
142,A002,R051,02-03-01,05-04-11,16:00:00,REGULAR,2850524,4394113
143,A002,R051,02-03-01,05-04-11,20:00:00,REGULAR,2851074,4394669
144,A002,R051,02-03-01,05-05-11,00:00:00,REGULAR,2851322,4394850
145,A002,R051,02-03-01,05-05-11,04:00:00,REGULAR,2851333,4394862
146,A002,R051,02-03-01,05-05-11,08:00:00,REGULAR,2851385,4395141
154,A002,R051,02-03-01,05-05-11,20:00:00,REGULAR,2852442,4396862
155,A002,R051,02-03-01,05-06-11,00:00:00,REGULAR,2852755,4397061
156,A002,R051,02-03-01,05-06-11,04:00:00,REGULAR,2852787,4397086
157,A002,R051,02-03-01,05-06-11,08:00:00,REGULAR,2852835,4397344
158,A002,R051,02-03-01,05-06-11,12:00:00,REGULAR,2853015,4398052
159,A002,R051,02-03-01,05-06-11,16:00:00,REGULAR,2853329,4398477
160,A002,R051,02-03-01,05-06-11,20:00:00,REGULAR,2853894,4399020
161,A002,R051,02-03-02,05-01-11,00:00:00,REGULAR,2617231,3584779
162,A002,R051,02-03-02,05-01-11,04:00:00,REGULAR,2617273,3584844
163,A002,R051,02-03-02,05-01-11,08:00:00,REGULAR,2617284,3584890
164,A002,R051,02-03-02,05-01-11,12:00:00,REGULAR,2617359,3585091
165,A002,R051,02-03-02,05-01-11,16:00:00,REGULAR,2617529,3585339
166,A002,R051,02-03-02,05-01-11,20:00:00,REGULAR,2617721,3585576
167,A002,R051,02-03-02,05-02-11,00:00:00,REGULAR,2617847,3585664
168,A002,R051,02-03-02,05-02-11,04:00:00,REGULAR,2617860,3585674
169,A002,R051,02-03-02,05-02-11,08:00:00,REGULAR,2617899,3585928
170,A002,R051,02-03-02,05-02-11,12:00:00,REGULAR,2618066,3586569
171,A002,R051,02-03-02,05-02-11,16:00:00,REGULAR,2618320,3586861
172,A002,R051,02-03-02,05-02-11,20:00:00,REGULAR,2618903,3587268
173,A002,R051,02-03-02,05-03-11,00:00:00,REGULAR,2619105,3587394
174,A002,R051,02-03-02,05-03-11,04:00:00,REGULAR,2619121,3587409
175,A002,R051,02-03-02,05-03-11,08:00:00,REGULAR,2619166,3587730
176,A002,R051,02-03-02,05-03-11,12:00:00,REGULAR,2619358,3588412
177,A002,R051,02-03-02,05-03-11,16:00:00,REGULAR,2619604,3588687
178,A002,R051,02-03-02,05-03-11,20:00:00,REGULAR,2620217,3589111
179,A002,R051,02-03-02,05-04-11,00:00:00,REGULAR,2620423,3589256
180,A002,R051,02-03-02,05-04-11,04:00:00,REGULAR,2620440,3589274
181,A002,R051,02-03-02,05-04-11,08:00:00,REGULAR,2620497,3589541
182,A002,R051,02-03-02,05-04-11,12:00:00,REGULAR,2620687,3590235
183,A002,R051,02-03-02,05-04-11,16:00:00,REGULAR,2620966,3590562
184,A002,R051,02-03-02,05-04-11,20:00:00,REGULAR,2621516,3591028
185,A002,R051,02-03-02,05-05-11,00:00:00,REGULAR,2621715,3591188
186,A002,R051,02-03-02,05-05-11,04:00:00,REGULAR,2621730,3591201
187,A002,R051,02-03-02,05-05-11,08:00:00,REGULAR,2621777,3591470
194,A002,R051,02-03-02,05-06-11,00:00:00,REGULAR,2623065,3593061
195,A002,R051,02-03-02,05-06-11,04:00:00,REGULAR,2623089,3593088
196,A002,R051,02-03-02,05-06-11,08:00:00,REGULAR,2623136,3593341
197,A002,R051,02-03-02,05-06-11,12:00:00,REGULAR,2623305,3594030
198,A002,R051,02-03-02,05-06-11,16:00:00,REGULAR,2623564,3594368
199,A002,R051,02-03-02,05-06-11,20:00:00,REGULAR,2624124,3594800
200,A002,R051,02-03-03,05-01-11,00:00:00,REGULAR,2321995,3040801
201,A002,R051,02-03-03,05-01-11,04:00:00,REGULAR,2322024,3040829
202,A002,R051,02-03-03,05-01-11,08:00:00,REGULAR,2322030,3040872
203,A002,R051,02-03-03,05-01-11,12:00:00,REGULAR,2322097,3041026
204,A002,R051,02-03-03,05-01-11,16:00:00,REGULAR,2322257,3041168
205,A002,R051,02-03-03,05-01-11,20:00:00,REGULAR,2322428,3041318
206,A002,R051,02-03-03,05-02-11,00:00:00,REGULAR,2322528,3041386
207,A002,R051,02-03-03,05-02-11,04:00:00,REGULAR,2322533,3041391
208,A002,R051,02-03-03,05-02-11,08:00:00,REGULAR,2322569,3041718
209,A002,R051,02-03-03,05-02-11,12:00:00,REGULAR,2322756,3042353
210,A002,R051,02-03-03,05-02-11,16:00:00,REGULAR,2322958,3042559
211,A002,R051,02-03-03,05-02-11,20:00:00,REGULAR,2323516,3042843
212,A002,R051,02-03-03,05-03-11,00:00:00,REGULAR,2323675,3042945
213,A002,R051,02-03-03,05-03-11,04:00:00,REGULAR,2323684,3042960
214,A002,R051,02-03-03,05-03-11,08:00:00,REGULAR,2323733,3043243
215,A002,R051,02-03-03,05-03-11,12:00:00,REGULAR,2323937,3043841
216,A002,R051,02-03-03,05-03-11,16:00:00,REGULAR,2324176,3044026
217,A002,R051,02-03-03,05-03-11,20:00:00,REGULAR,2324809,3044300
218,A002,R051,02-03-03,05-04-11,00:00:00,REGULAR,2324968,3044409
219,A002,R051,02-03-03,05-04-11,04:00:00,REGULAR,2324973,3044419
220,A002,R051,02-03-03,05-04-11,08:00:00,REGULAR,2325002,3044754
221,A002,R051,02-03-03,05-04-11,12:00:00,REGULAR,2325253,3045333
222,A002,R051,02-03-03,05-04-11,16:00:00,REGULAR,2325497,3045507
223,A002,R051,02-03-03,05-04-11,20:00:00,REGULAR,2326047,3045833
224,A002,R051,02-03-03,05-05-11,00:00:00,REGULAR,2326218,3045947
225,A002,R051,02-03-03,05-05-11,04:00:00,REGULAR,2326226,3045958
226,A002,R051,02-03-03,05-05-11,08:00:00,REGULAR,2326271,3046267
231,A002,R051,02-03-03,05-05-11,20:00:00,REGULAR,2327274,3047429
232,A002,R051,02-03-03,05-06-11,00:00:00,REGULAR,2327446,3047540
233,A002,R051,02-03-03,05-06-11,04:00:00,REGULAR,2327457,3047560
234,A002,R051,02-03-03,05-06-11,08:00:00,REGULAR,2327493,3047830
235,A002,R051,02-03-03,05-06-11,12:00:00,REGULAR,2327669,3048451
236,A002,R051,02-03-03,05-06-11,16:00:00,REGULAR,2327900,3048704
237,A002,R051,02-03-03,05-06-11,20:00:00,REGULAR,2328376,3048960
238,A002,R051,02-03-04,05-01-11,00:00:00,REGULAR,3033909,1992618
239,A002,R051,02-03-04,05-01-11,04:00:00,REGULAR,3033943,1992626
240,A002,R051,02-03-04,05-01-11,08:00:00,REGULAR,3033956,1992664
241,A002,R051,02-03-04,05-01-11,12:00:00,REGULAR,3034046,1992754
242,A002,R051,02-03-04,05-01-11,16:00:00,REGULAR,3034250,1992808
243,A002,R051,02-03-04,05-01-11,20:00:00,REGULAR,3034475,1992859
244,A002,R051,02-03-04,05-02-11,00:00:00,REGULAR,3034614,1992884
245,A002,R051,02-03-04,05-02-11,04:00:00,REGULAR,3034622,1992888
246,A002,R051,02-03-04,05-02-11,08:00:00,REGULAR,3034667,1993057
247,A002,R051,02-03-04,05-02-11,12:00:00,REGULAR,3034933,1993357
248,A002,R051,02-03-04,05-02-11,16:00:00,REGULAR,3035177,1993448
249,A002,R051,02-03-04,05-02-11,20:00:00,REGULAR,3035745,1993573
250,A002,R051,02-03-04,05-03-11,00:00:00,REGULAR,3035927,1993625
251,A002,R051,02-03-04,05-03-11,04:00:00,REGULAR,3035935,1993629
252,A002,R051,02-03-04,05-03-11,08:00:00,REGULAR,3035977,1993820
253,A002,R051,02-03-04,05-03-11,12:00:00,REGULAR,3036280,1994084
254,A002,R051,02-03-04,05-03-11,16:00:00,REGULAR,3036566,1994175
255,A002,R051,02-03-04,05-03-11,20:00:00,REGULAR,3037266,1994302
256,A002,R051,02-03-04,05-04-11,00:00:00,REGULAR,3037476,1994357
257,A002,R051,02-03-04,05-04-11,04:00:00,REGULAR,3037491,1994360
258,A002,R051,02-03-04,05-04-11,08:00:00,REGULAR,3037536,1994574
259,A002,R051,02-03-04,05-04-11,12:00:00,REGULAR,3037901,1994777
260,A002,R051,02-03-04,05-04-11,16:00:00,REGULAR,3038188,1994867
261,A002,R051,02-03-04,05-04-11,20:00:00,REGULAR,3038888,1994963
262,A002,R051,02-03-04,05-05-11,00:00:00,REGULAR,3039108,1995020
263,A002,R051,02-03-04,05-05-11,04:00:00,REGULAR,3039124,1995023
264,A002,R051,02-03-04,05-05-11,08:00:00,REGULAR,3039189,1995217
269,A002,R051,02-03-04,05-05-11,20:00:00,REGULAR,3040424,1995730
270,A002,R051,02-03-04,05-06-11,00:00:00,REGULAR,3040650,1995778
271,A002,R051,02-03-04,05-06-11,04:00:00,REGULAR,3040678,1995787
272,A002,R051,02-03-04,05-06-11,08:00:00,REGULAR,3040744,1995953
273,A002,R051,02-03-04,05-06-11,12:00:00,REGULAR,3040993,1996264
274,A002,R051,02-03-04,05-06-11,16:00:00,REGULAR,3041292,1996362
275,A002,R051,02-03-04,05-06-11,20:00:00,REGULAR,3041969,1996449
276,A002,R051,02-03-05,05-01-11,00:00:00,REGULAR,5077970,973199
277,A002,R051,02-03-05,05-01-11,04:00:00,REGULAR,5078033,973214
278,A002,R051,02-03-05,05-01-11,08:00:00,REGULAR,5078075,973222
279,A002,R051,02-03-05,05-01-11,12:00:00,REGULAR,5078282,973243
280,A002,R051,02-03-05,05-01-11,16:00:00,REGULAR,5078643,973265
281,A002,R051,02-03-05,05-01-11,20:00:00,REGULAR,5079082,973280
282,A002,R051,02-03-05,05-02-11,00:00:00,REGULAR,5079322,973288
283,A002,R051,02-03-05,05-02-11,04:00:00,REGULAR,5079341,973289
284,A002,R051,02-03-05,05-02-11,08:00:00,REGULAR,5079504,973326
285,A002,R051,02-03-05,05-02-11,12:00:00,REGULAR,5080080,973390
286,A002,R051,02-03-05,05-02-11,16:00:00,REGULAR,5080549,973416
287,A002,R051,02-03-05,05-02-11,20:00:00,REGULAR,5081538,973446
288,A002,R051,02-03-05,05-03-11,00:00:00,REGULAR,5081909,973455
289,A002,R051,02-03-05,05-03-11,04:00:00,REGULAR,5081941,973457
290,A002,R051,02-03-05,05-03-11,08:00:00,REGULAR,5082105,973511
291,A002,R051,02-03-05,05-03-11,12:00:00,REGULAR,5082671,973571
292,A002,R051,02-03-05,05-03-11,16:00:00,REGULAR,5083175,973592
293,A002,R051,02-03-05,05-03-11,20:00:00,REGULAR,5084170,973626
294,A002,R051,02-03-05,05-04-11,00:00:00,REGULAR,5084572,973640
295,A002,R051,02-03-05,05-04-11,04:00:00,REGULAR,5084608,973641
296,A002,R051,02-03-05,05-04-11,08:00:00,REGULAR,5084747,973690
297,A002,R051,02-03-05,05-04-11,12:00:00,REGULAR,5085330,973722
298,A002,R051,02-03-05,05-04-11,16:00:00,REGULAR,5085789,973744
299,A002,R051,02-03-05,05-04-11,20:00:00,REGULAR,5086752,973768
300,A002,R051,02-03-05,05-05-11,00:00:00,REGULAR,5087161,973774
301,A002,R051,02-03-05,05-05-11,04:00:00,REGULAR,5087198,973776
302,A002,R051,02-03-05,05-05-11,08:00:00,REGULAR,5087350,973821
310,A002,R051,02-03-05,05-05-11,20:00:00,REGULAR,5089333,973943
311,A002,R051,02-03-05,05-06-11,00:00:00,REGULAR,5089748,973955
312,A002,R051,02-03-05,05-06-11,04:00:00,REGULAR,5089793,973956
313,A002,R051,02-03-05,05-06-11,08:00:00,REGULAR,5089942,974010
314,A002,R051,02-03-05,05-06-11,12:00:00,REGULAR,5090466,974076
315,A002,R051,02-03-05,05-06-11,16:00:00,REGULAR,5090996,974107
316,A002,R051,02-03-05,05-06-11,20:00:00,REGULAR,5091876,974142
317,A002,R051,02-03-06,05-01-11,00:00:00,REGULAR,3859905,422015
318,A002,R051,02-03-06,05-01-11,04:00:00,REGULAR,3859935,422015
319,A002,R051,02-03-06,05-01-11,08:00:00,REGULAR,3859950,422017
320,A002,R051,02-03-06,05-01-11,12:00:00,REGULAR,3860027,422020
321,A002,R051,02-03-06,05-01-11,16:00:00,REGULAR,3860210,422021
322,A002,R051,02-03-06,05-01-11,20:00:00,REGULAR,3860376,422026
323,A002,R051,02-03-06,05-02-11,00:00:00,REGULAR,3860477,422026
324,A002,R051,02-03-06,05-02-11,04:00:00,REGULAR,3860489,422026
325,A002,R051,02-03-06,05-02-11,08:00:00,REGULAR,3860610,422031
326,A002,R051,02-03-06,05-02-11,12:00:00,REGULAR,3861043,422042
327,A002,R051,02-03-06,05-02-11,16:00:00,REGULAR,3861300,422049
328,A002,R051,02-03-06,05-02-11,20:00:00,REGULAR,3862007,422054
329,A002,R051,02-03-06,05-03-11,00:00:00,REGULAR,3862201,422057
330,A002,R051,02-03-06,05-03-11,04:00:00,REGULAR,3862218,422057
331,A002,R051,02-03-06,05-03-11,08:00:00,REGULAR,3862350,422064
332,A002,R051,02-03-06,05-03-11,12:00:00,REGULAR,3862793,422076
333,A002,R051,02-03-06,05-03-11,16:00:00,REGULAR,3863073,422082
334,A002,R051,02-03-06,05-03-11,20:00:00,REGULAR,3863849,422089
335,A002,R051,02-03-06,05-04-11,00:00:00,REGULAR,3864106,422091
336,A002,R051,02-03-06,05-04-11,04:00:00,REGULAR,3864119,422091
337,A002,R051,02-03-06,05-04-11,08:00:00,REGULAR,3864244,422095
338,A002,R051,02-03-06,05-04-11,12:00:00,REGULAR,3864652,422107
339,A002,R051,02-03-06,05-04-11,16:00:00,REGULAR,3864920,422112
340,A002,R051,02-03-06,05-04-11,20:00:00,REGULAR,3865618,422121
341,A002,R051,02-03-06,05-05-11,00:00:00,REGULAR,3865815,422126
342,A002,R051,02-03-06,05-05-11,04:00:00,REGULAR,3865831,422127
343,A002,R051,02-03-06,05-05-11,08:00:00,REGULAR,3865944,422132
348,A002,R051,02-03-06,05-05-11,20:00:00,REGULAR,3867479,422161
349,A002,R051,02-03-06,05-06-11,00:00:00,REGULAR,3867740,422165
350,A002,R051,02-03-06,05-06-11,04:00:00,REGULAR,3867762,422165
351,A002,R051,02-03-06,05-06-11,08:00:00,REGULAR,3867868,422167
352,A002,R051,02-03-06,05-06-11,12:00:00,REGULAR,3868335,422171
353,A002,R051,02-03-06,05-06-11,16:00:00,REGULAR,3868703,422179
354,A002,R051,02-03-06,05-06-11,20:00:00,REGULAR,3869377,422188
355,A002,R051,02-05-00,05-01-11,00:00:00,REGULAR,634,0
356,A002,R051,02-05-00,05-01-11,04:00:00,REGULAR,634,0
357,A002,R051,02-05-00,05-01-11,08:00:00,REGULAR,634,0
358,A002,R051,02-05-00,05-01-11,12:00:00,REGULAR,634,0
359,A002,R051,02-05-00,05-01-11,16:00:00,REGULAR,634,0
360,A002,R051,02-05-00,05-01-11,20:00:00,REGULAR,634,0
361,A002,R051,02-05-00,05-02-11,00:00:00,REGULAR,634,0
362,A002,R051,02-05-00,05-02-11,04:00:00,REGULAR,634,0
363,A002,R051,02-05-00,05-02-11,08:00:00,REGULAR,634,0
364,A002,R051,02-05-00,05-02-11,12:00:00,REGULAR,634,0
365,A002,R051,02-05-00,05-02-11,16:00:00,REGULAR,634,0
366,A002,R051,02-05-00,05-02-11,20:00:00,REGULAR,634,0
367,A002,R051,02-05-00,05-03-11,00:00:00,REGULAR,635,0
368,A002,R051,02-05-00,05-03-11,04:00:00,REGULAR,635,0
369,A002,R051,02-05-00,05-03-11,08:00:00,REGULAR,635,0
370,A002,R051,02-05-00,05-03-11,12:00:00,REGULAR,635,0
371,A002,R051,02-05-00,05-03-11,16:00:00,REGULAR,636,0
372,A002,R051,02-05-00,05-03-11,20:00:00,REGULAR,636,0
373,A002,R051,02-05-00,05-04-11,00:00:00,REGULAR,636,0
374,A002,R051,02-05-00,05-04-11,04:00:00,REGULAR,636,0
375,A002,R051,02-05-00,05-04-11,08:00:00,REGULAR,636,0
376,A002,R051,02-05-00,05-04-11,12:00:00,REGULAR,636,0
377,A002,R051,02-05-00,05-04-11,16:00:00,REGULAR,636,0
378,A002,R051,02-05-00,05-04-11,20:00:00,REGULAR,636,0
379,A002,R051,02-05-00,05-05-11,00:00:00,REGULAR,636,0
380,A002,R051,02-05-00,05-05-11,04:00:00,REGULAR,636,0
381,A002,R051,02-05-00,05-05-11,08:00:00,REGULAR,636,0
382,A002,R051,02-05-00,05-05-11,12:00:00,REGULAR,640,0
383,A002,R051,02-05-00,05-05-11,16:00:00,REGULAR,640,0
384,A002,R051,02-05-00,05-05-11,20:00:00,REGULAR,640,0
385,A002,R051,02-05-00,05-06-11,00:00:00,REGULAR,640,0
386,A002,R051,02-05-00,05-06-11,04:00:00,REGULAR,640,0
387,A002,R051,02-05-00,05-06-11,08:00:00,REGULAR,640,0
388,A002,R051,02-05-00,05-06-11,12:00:00,REGULAR,640,0
389,A002,R051,02-05-00,05-06-11,16:00:00,REGULAR,641,0
390,A002,R051,02-05-00,05-06-11,20:00:00,REGULAR,641,0
391,A002,R051,02-05-01,05-01-11,00:00:00,REGULAR,0,306
392,A002,R051,02-05-01,05-01-11,04:00:00,REGULAR,0,306
393,A002,R051,02-05-01,05-01-11,08:00:00,REGULAR,0,306
394,A002,R051,02-05-01,05-01-11,12:00:00,REGULAR,0,306
395,A002,R051,02-05-01,05-01-11,16:00:00,REGULAR,0,306
396,A002,R051,02-05-01,05-01-11,20:00:00,REGULAR,0,306
397,A002,R051,02-05-01,05-02-11,00:00:00,REGULAR,0,306
398,A002,R051,02-05-01,05-02-11,04:00:00,REGULAR,0,306
399,A002,R051,02-05-01,05-02-11,08:00:00,REGULAR,0,306
400,A002,R051,02-05-01,05-02-11,12:00:00,REGULAR,0,306
401,A002,R051,02-05-01,05-02-11,16:00:00,REGULAR,0,306
402,A002,R051,02-05-01,05-02-11,20:00:00,REGULAR,0,306
403,A002,R051,02-05-01,05-03-11,00:00:00,REGULAR,0,306
404,A002,R051,02-05-01,05-03-11,04:00:00,REGULAR,0,306
405,A002,R051,02-05-01,05-03-11,08:00:00,REGULAR,0,306
406,A002,R051,02-05-01,05-03-11,12:00:00,REGULAR,0,306
