,C/A,UNIT,SCP,DATEn,TIMEn,DESCn,ENTRIESn,EXITSn,ENTRIESn_hourly
100,A002,R051,02-03-00,05-04-11,04:00:00,REGULAR,1288526,4591486,8.0
101,A002,R051,02-03-00,05-04-11,08:00:00,REGULAR,1288545,4591767,19.0
102,A002,R051,02-03-00,05-04-11,12:00:00,REGULAR,1288623,4592548,78.0
103,A002,R051,02-03-00,05-04-11,16:00:00,REGULAR,1288768,4592896,145.0
104,A002,R051,02-03-00,05-04-11,20:00:00,REGULAR,1289027,4593511,259.0
105,A002,R051,02-03-00,05-05-11,00:00:00,REGULAR,1289103,4593652,76.0
106,A002,R051,02-03-00,05-05-11,04:00:00,REGULAR,1289109,4593663,6.0
107,A002,R051,02-03-00,05-05-11,08:00:00,REGULAR,1289119,4593931,10.0
114,A002,R051,02-03-00,05-06-11,00:00:00,REGULAR,1289679,4595797,560.0
115,A002,R051,02-03-00,05-06-11,04:00:00,REGULAR,1289685,4595816,6.0
116,A002,R051,02-03-00,05-06-11,08:00:00,REGULAR,1289693,4596079,8.0
117,A002,R051,02-03-00,05-06-11,12:00:00,REGULAR,1289730,4596848,37.0
118,A002,R051,02-03-00,05-06-11,16:00:00,REGULAR,1289838,4597228,108.0
119,A002,R051,02-03-00,05-06-11,20:00:00,REGULAR,1290130,4597795,292.0
120,A002,R051,02-03-01,05-01-11,00:00:00,REGULAR,2846551,4387392,0.0
121,A002,R051,02-03-01,05-01-11,04:00:00,REGULAR,2846593,4387444,42.0
122,A002,R051,02-03-01,05-01-11,08:00:00,REGULAR,2846616,4387487,23.0
123,A002,R051,02-03-01,05-01-11,12:00:00,REGULAR,2846691,4387729,75.0
124,A002,R051,02-03-01,05-01-11,16:00:00,REGULAR,2846884,4388044,193.0
125,A002,R051,02-03-01,05-01-11,20:00:00,REGULAR,2847105,4388382,221.0
126,A002,R051,02-03-01,05-02-11,00:00:00,REGULAR,2847255,4388497,150.0
127,A002,R051,02-03-01,05-02-11,04:00:00,REGULAR,2847271,4388513,16.0
128,A002,R051,02-03-01,05-02-11,08:00:00,REGULAR,2847314,4388799,43.0
129,A002,R051,02-03-01,05-02-11,12:00:00,REGULAR,2847480,4389484,166.0
130,A002,R051,02-03-01,05-02-11,16:00:00,REGULAR,2847721,4389876,241.0
131,A002,R051,02-03-01,05-02-11,20:00:00,REGULAR,2848334,4390414,613.0
132,A002,R051,02-03-01,05-03-11,00:00:00,REGULAR,2848581,4390574,247.0
133,A002,R051,02-03-01,05-03-11,04:00:00,REGULAR,2848601,4390593,20.0
134,A002,R051,02-03-01,05-03-11,08:00:00,REGULAR,2848661,4390850,60.0
135,A002,R051,02-03-01,05-03-11,12:00:00,REGULAR,2848843,4391562,182.0
136,A002,R051,02-03-01,05-03-11,16:00:00,REGULAR,2849114,4391904,271.0
137,A002,R051,02-03-01,05-03-11,20:00:00,REGULAR,2849726,4392448,612.0
138,A002,R051,02-03-01,05-04-11,00:00:00,REGULAR,2849963,4392650,237.0
139,A002,R051,02-03-01,05-04-11,04:00:00,REGULAR,2849991,4392671,28.0
140,A002,R051,02-03-01,05-04-11,08:00:00,REGULAR,2850052,4392909,61.0
141,A002,R051,02-03-01,05-04-11,12:00:00,REGULAR,2850228,4393746,176.0
142,A002,R051,02-03-01,05-04-11,16:00:00,REGULAR,2850524,4394113,296.0
143,A002,R051,02-03-01,05-04-11,20:00:00,REGULAR,2851074,4394669,550.0
144,A002,R051,02-03-01,05-05-11,00:00:00,REGULAR,2851322,4394850,248.0
145,A002,R051,02-03-01,05-05-11,04:00:00,REGULAR,2851333,4394862,11.0
146,A002,R051,02-03-01,05-05-11,08:00:00,REGULAR,2851385,4395141,52.0
154,A002,R051,02-03-01,05-05-11,20:00:00,REGULAR,2852442,4396862,1057.0
155,A002,R051,02-03-01,05-06-11,00:00:00,REGULAR,2852755,4397061,313.0
156,A002,R051,02-03-01,05-06-11,04:00:00,REGULAR,2852787,4397086,32.0
157,A002,R051,02-03-01,05-06-11,08:00:00,REGULAR,2852835,4397344,48.0
158,A002,R051,02-03-01,05-06-11,12:00:00,REGULAR,2853015,4398052,180.0
159,A002,R051,02-03-01,05-06-11,16:00:00,REGULAR,2853329,4398477,314.0
160,A002,R051,02-03-01,05-06-11,20:00:00,REGULAR,2853894,4399020,565.0
161,A002,R051,02-03-02,05-01-11,00:00:00,REGULAR,2617231,3584779,0.0
162,A002,R051,02-03-02,05-01-11,04:00:00,REGULAR,2617273,3584844,42.0
163,A002,R051,02-03-02,05-01-11,08:00:00,REGULAR,2617284,3584890,11.0
164,A002,R051,02-03-02,05-01-11,12:00:00,REGULAR,2617359,3585091,75.0
165,A002,R051,02-03-02,05-01-11,16:00:00,REGULAR,2617529,3585339,170.0
166,A002,R051,02-03-02,05-01-11,20:00:00,REGULAR,2617721,3585576,192.0
167,A002,R051,02-03-02,05-02-11,00:00:00,REGULAR,2617847,3585664,126.0
168,A002,R051,02-03-02,05-02-11,04:00:00,REGULAR,2617860,3585674,13.0
169,A002,R051,02-03-02,05-02-11,08:00:00,REGULAR,2617899,3585928,39.0
170,A002,R051,02-03-02,05-02-11,12:00:00,REGULAR,2618066,3586569,167.0
171,A002,R051,02-03-02,05-02-11,16:00:00,REGULAR,2618320,3586861,254.0
172,A002,R051,02-03-02,05-02-11,20:00:00,REGULAR,2618903,3587268,583.0
173,A002,R051,02-03-02,05-03-11,00:00:00,REGULAR,2619105,3587394,202.0
174,A002,R051,02-03-02,05-03-11,04:00:00,REGULAR,2619121,3587409,16.0
175,A002,R051,02-03-02,05-03-11,08:00:00,REGULAR,2619166,3587730,45.0
176,A002,R051,02-03-02,05-03-11,12:00:00,REGULAR,2619358,3588412,192.0
177,A002,R051,02-03-02,05-03-11,16:00:00,REGULAR,2619604,3588687,246.0
178,A002,R051,02-03-02,05-03-11,20:00:00,REGULAR,2620217,3589111,613.0
179,A002,R051,02-03-02,05-04-11,00:00:00,REGULAR,2620423,3589256,206.0
180,A002,R051,02-03-02,05-04-11,04:00:00,REGULAR,2620440,3589274,17.0
181,A002,R051,02-03-02,05-04-11,08:00:00,REGULAR,2620497,3589541,57.0
182,A002,R051,02-03-02,05-04-11,12:00:00,REGULAR,2620687,3590235,190.0
183,A002,R051,02-03-02,05-04-11,16:00:00,REGULAR,2620966,3590562,279.0
184,A002,R051,02-03-02,05-04-11,20:00:00,REGULAR,2621516,3591028,550.0
185,A002,R051,02-03-02,05-05-11,00:00:00,REGULAR,2621715,3591188,199.0
186,A002,R051,02-03-02,05-05-11,04:00:00,REGULAR,2621730,3591201,15.0
187,A002,R051,02-03-02,05-05-11,08:00:00,REGULAR,2621777,3591470,47.0
194,A002,R051,02-03-02,05-06-11,00:00:00,REGULAR,2623065,3593061,1288.0
195,A002,R051,02-03-02,05-06-11,04:00:00,REGULAR,2623089,3593088,24.0
196,A002,R051,02-03-02,05-06-11,08:00:00,REGULAR,2623136,3593341,47.0
197,A002,R051,02-03-02,05-06-11,12:00:00,REGULAR,2623305,3594030,169.0
198,A002,R051,02-03-02,05-06-11,16:00:00,REGULAR,2623564,3594368,259.0
199,A002,R051,02-03-02,05-06-11,20:00:00,REGULAR,2624124,3594800,560.0
200,A002,R051,02-03-03,05-01-11,00:00:00,REGULAR,2321995,3040801,0.0
201,A002,R051,02-03-03,05-01-11,04:00:00,REGULAR,2322024,3040829,29.0
202,A002,R051,02-03-03,05-01-11,08:00:00,REGULAR,2322030,3040872,6.0
203,A002,R051,02-03-03,05-01-11,12:00:00,REGULAR,2322097,3041026,67.0
204,A002,R051,02-03-03,05-01-11,16:00:00,REGULAR,2322257,3041168,160.0
205,A002,R051,02-03-03,05-01-11,20:00:00,REGULAR,2322428,3041318,171.0
206,A002,R051,02-03-03,05-02-11,00:00:00,REGULAR,2322528,3041386,100.0
207,A002,R051,02-03-03,05-02-11,04:00:00,REGULAR,2322533,3041391,5.0
208,A002,R051,02-03-03,05-02-11,08:00:00,REGULAR,2322569,3041718,36.0
209,A002,R051,02-03-03,05-02-11,12:00:00,REGULAR,2322756,3042353,187.0
210,A002,R051,02-03-03,05-02-11,16:00:00,REGULAR,2322958,3042559,202.0
211,A002,R051,02-03-03,05-02-11,20:00:00,REGULAR,2323516,3042843,558.0
212,A002,R051,02-03-03,05-03-11,00:00:00,REGULAR,2323675,3042945,159.0
213,A002,R051,02-03-03,05-03-11,04:00:00,REGULAR,2323684,3042960,9.0
214,A002,R051,02-03-03,05-03-11,08:00:00,REGULAR,2323733,3043243,49.0
215,A002,R051,02-03-03,05-03-11,12:00:00,REGULAR,2323937,3043841,204.0
216,A002,R051,02-03-03,05-03-11,16:00:00,REGULAR,2324176,3044026,239.0
217,A002,R051,02-03-03,05-03-11,20:00:00,REGULAR,2324809,3044300,633.0
218,A002,R051,02-03-03,05-04-11,00:00:00,REGULAR,2324968,3044409,159.0
219,A002,R051,02-03-03,05-04-11,04:00:00,REGULAR,2324973,3044419,5.0
220,A002,R051,02-03-03,05-04-11,08:00:00,REGULAR,2325002,3044754,29.0
221,A002,R051,02-03-03,05-04-11,12:00:00,REGULAR,2325253,3045333,251.0
222,A002,R051,02-03-03,05-04-11,16:00:00,REGULAR,2325497,3045507,244.0
223,A002,R051,02-03-03,05-04-11,20:00:00,REGULAR,2326047,3045833,550.0
224,A002,R051,02-03-03,05-05-11,00:00:00,REGULAR,2326218,3045947,171.0
225,A002,R051,02-03-03,05-05-11,04:00:00,REGULAR,2326226,3045958,8.0
226,A002,R051,02-03-03,05-05-11,08:00:00,REGULAR,2326271,3046267,45.0
231,A002,R051,02-03-03,05-05-11,20:00:00,REGULAR,2327274,3047429,1003.0
232,A002,R051,02-03-03,05-06-11,00:00:00,REGULAR,2327446,3047540,172.0
233,A002,R051,02-03-03,05-06-11,04:00:00,REGULAR,2327457,3047560,11.0
234,A002,R051,02-03-03,05-06-11,08:00:00,REGULAR,2327493,3047830,36.0
235,A002,R051,02-03-03,05-06-11,12:00:00,REGULAR,2327669,3048451,176.0
236,A002,R051,02-03-03,05-06-11,16:00:00,REGULAR,2327900,3048704,231.0
237,A002,R051,02-03-03,05-06-11,20:00:00,REGULAR,2328376,3048960,476.0
238,A002,R051,02-03-04,05-01-11,00:00:00,REGULAR,3033909,1992618,0.0
239,A002,R051,02-03-04,05-01-11,04:00:00,REGULAR,3033943,1992626,34.0
240,A002,R051,02-03-04,05-01-11,08:00:00,REGULAR,3033956,1992664,13.0
241,A002,R051,02-03-04,05-01-11,12:00:00,REGULAR,3034046,1992754,90.0
242,A002,R051,02-03-04,05-01-11,16:00:00,REGULAR,3034250,1992808,204.0
243,A002,R051,02-03-04,05-01-11,20:00:00,REGULAR,3034475,1992859,225.0
244,A002,R051,02-03-04,05-02-11,00:00:00,REGULAR,3034614,1992884,139.0
245,A002,R051,02-03-04,05-02-11,04:00:00,REGULAR,3034622,1992888,8.0
246,A002,R051,02-03-04,05-02-11,08:00:00,REGULAR,3034667,1993057,45.0
247,A002,R051,02-03-04,05-02-11,12:00:00,REGULAR,3034933,1993357,266.0
248,A002,R051,02-03-04,05-02-11,16:00:00,REGULAR,3035177,1993448,244.0
249,A002,R051,02-03-04,05-02-11,20:00:00,REGULAR,3035745,1993573,568.0
250,A002,R051,02-03-04,05-03-11,00:00:00,REGULAR,3035927,1993625,182.0
251,A002,R051,02-03-04,05-03-11,04:00:00,REGULAR,3035935,1993629,8.0
252,A002,R051,02-03-04,05-03-11,08:00:00,REGULAR,3035977,1993820,42.0
253,A002,R051,02-03-04,05-03-11,12:00:00,REGULAR,3036280,1994084,303.0
254,A002,R051,02-03-04,05-03-11,16:00:00,REGULAR,3036566,1994175,286.0
255,A002,R051,02-03-04,05-03-11,20:00:00,REGULAR,3037266,1994302,700.0
256,A002,R051,02-03-04,05-04-11,00:00:00,REGULAR,3037476,1994357,210.0
257,A002,R051,02-03-04,05-04-11,04:00:00,REGULAR,3037491,1994360,15.0
258,A002,R051,02-03-04,05-04-11,08:00:00,REGULAR,3037536,1994574,45.0
259,A002,R051,02-03-04,05-04-11,12:00:00,REGULAR,3037901,1994777,365.0
260,A002,R051,02-03-04,05-04-11,16:00:00,REGULAR,3038188,1994867,287.0
261,A002,R051,02-03-04,05-04-11,20:00:00,REGULAR,3038888,1994963,700.0
262,A002,R051,02-03-04,05-05-11,00:00:00,REGULAR,3039108,1995020,220.0
263,A002,R051,02-03-04,05-05-11,04:00:00,REGULAR,3039124,1995023,16.0
264,A002,R051,02-03-04,05-05-11,08:00:00,REGULAR,3039189,1995217,65.0
269,A002,R051,02-03-04,05-05-11,20:00:00,REGULAR,3040424,1995730,1235.0
270,A002,R051,02-03-04,05-06-11,00:00:00,REGULAR,3040650,1995778,226.0
271,A002,R051,02-03-04,05-06-11,04:00:00,REGULAR,3040678,1995787,28.0
272,A002,R051,02-03-04,05-06-11,08:00:00,REGULAR,3040744,1995953,66.0
273,A002,R051,02-03-04,05-06-11,12:00:00,REGULAR,3040993,1996264,249.0
274,A002,R051,02-03-04,05-06-11,16:00:00,REGULAR,3041292,1996362,299.0
275,A002,R051,02-03-04,05-06-11,20:00:00,REGULAR,3041969,1996449,677.0
276,A002,R051,02-03-05,05-01-11,00:00:00,REGULAR,5077970,973199,0.0
277,A002,R051,02-03-05,05-01-11,04:00:00,REGULAR,5078033,973214,63.0
278,A002,R051,02-03-05,05-01-11,08:00:00,REGULAR,5078075,973222,42.0
279,A002,R051,02-03-05,05-01-11,12:00:00,REGULAR,5078282,973243,207.0
280,A002,R051,02-03-05,05-01-11,16:00:00,REGULAR,5078643,973265,361.0
281,A002,R051,02-03-05,05-01-11,20:00:00,REGULAR,5079082,973280,439.0
282,A002,R051,02-03-05,05-02-11,00:00:00,REGULAR,5079322,973288,240.0
283,A002,R051,02-03-05,05-02-11,04:00:00,REGULAR,5079341,973289,19.0
284,A002,R051,02-03-05,05-02-11,08:00:00,REGULAR,5079504,973326,163.0
285,A002,R051,02-03-05,05-02-11,12:00:00,REGULAR,5080080,973390,576.0
286,A002,R051,02-03-05,05-02-11,16:00:00,REGULAR,5080549,973416,469.0
287,A002,R051,02-03-05,05-02-11,20:00:00,REGULAR,5081538,973446,989.0
288,A002,R051,02-03-05,05-03-11,00:00:00,REGULAR,5081909,973455,371.0
289,A002,R051,02-03-05,05-03-11,04:00:00,REGULAR,5081941,973457,32.0
290,A002,R051,02-03-05,05-03-11,08:00:00,REGULAR,5082105,973511,164.0
291,A002,R051,02-03-05,05-03-11,12:00:00,REGULAR,5082671,973571,566.0
292,A002,R051,02-03-05,05-03-11,16:00:00,REGULAR,5083175,973592,504.0
293,A002,R051,02-03-05,05-03-11,20:00:00,REGULAR,5084170,973626,995.0
294,A002,R051,02-03-05,05-04-11,00:00:00,REGULAR,5084572,973640,402.0
295,A002,R051,02-03-05,05-04-11,04:00:00,REGULAR,5084608,973641,36.0
296,A002,R051,02-03-05,05-04-11,08:00:00,REGULAR,5084747,973690,139.0
297,A002,R051,02-03-05,05-04-11,12:00:00,REGULAR,5085330,973722,583.0
298,A002,R051,02-03-05,05-04-11,16:00:00,REGULAR,5085789,973744,459.0
299,A002,R051,02-03-05,05-04-11,20:00:00,REGULAR,5086752,973768,963.0
300,A002,R051,02-03-05,05-05-11,00:00:00,REGULAR,5087161,973774,409.0
301,A002,R051,02-03-05,05-05-11,04:00:00,REGULAR,5087198,973776,37.0
302,A002,R051,02-03-05,05-05-11,08:00:00,REGULAR,5087350,973821,152.0
310,A002,R051,02-03-05,05-05-11,20:00:00,REGULAR,5089333,973943,1983.0
311,A002,R051,02-03-05,05-06-11,00:00:00,REGULAR,5089748,973955,415.0
312,A002,R051,02-03-05,05-06-11,04:00:00,REGULAR,5089793,973956,45.0
313,A002,R051,02-03-05,05-06-11,08:00:00,REGULAR,5089942,974010,149.0
314,A002,R051,02-03-05,05-06-11,12:00:00,REGULAR,5090466,974076,524.0
315,A002,R051,02-03-05,05-06-11,16:00:00,REGULAR,5090996,974107,530.0
316,A002,R051,02-03-05,05-06-11,20:00:00,REGULAR,5091876,974142,880.0
317,A002,R051,02-03-06,05-01-11,00:00:00,REGULAR,3859905,422015,0.0
318,A002,R051,02-03-06,05-01-11,04:00:00,REGULAR,3859935,422015,30.0
319,A002,R051,02-03-06,05-01-11,08:00:00,REGULAR,3859950,422017,15.0
320,A002,R051,02-03-06,05-01-11,12:00:00,REGULAR,3860027,422020,77.0
321,A002,R051,02-03-06,05-01-11,16:00:00,REGULAR,3860210,422021,183.0
322,A002,R051,02-03-06,05-01-11,20:00:00,REGULAR,3860376,422026,166.0
323,A002,R051,02-03-06,05-02-11,00:00:00,REGULAR,3860477,422026,101.0
324,A002,R051,02-03-06,05-02-11,04:00:00,REGULAR,3860489,422026,12.0
325,A002,R051,02-03-06,05-02-11,08:00:00,REGULAR,3860610,422031,121.0
326,A002,R051,02-03-06,05-02-11,12:00:00,REGULAR,3861043,422042,433.0
327,A002,R051,02-03-06,05-02-11,16:00:00,REGULAR,3861300,422049,257.0
328,A002,R051,02-03-06,05-02-11,20:00:00,REGULAR,3862007,422054,707.0
329,A002,R051,02-03-06,05-03-11,00:00:00,REGULAR,3862201,422057,194.0
330,A002,R051,02-03-06,05-03-11,04:00:00,REGULAR,3862218,422057,17.0
331,A002,R051,02-03-06,05-03-11,08:00:00,REGULAR,3862350,422064,132.0
332,A002,R051,02-03-06,05-03-11,12:00:00,REGULAR,3862793,422076,443.0
333,A002,R051,02-03-06,05-03-11,16:00:00,REGULAR,3863073,422082,280.0
334,A002,R051,02-03-06,05-03-11,20:00:00,REGULAR,3863849,422089,776.0
335,A002,R051,02-03-06,05-04-11,00:00:00,REGULAR,3864106,422091,257.0
336,A002,R051,02-03-06,05-04-11,04:00:00,REGULAR,3864119,422091,13.0
337,A002,R051,02-03-06,05-04-11,08:00:00,REGULAR,3864244,422095,125.0
338,A002,R051,02-03-06,05-04-11,12:00:00,REGULAR,3864652,422107,408.0
339,A002,R051,02-03-06,05-04-11,16:00:00,REGULAR,3864920,422112,268.0
340,A002,R051,02-03-06,05-04-11,20:00:00,REGULAR,3865618,422121,698.0
341,A002,R051,02-03-06,05-05-11,00:00:00,REGULAR,3865815,422126,197.0
342,A002,R051,02-03-06,05-05-11,04:00:00,REGULAR,3865831,422127,16.0
343,A002,R051,02-03-06,05-05-11,08:00:00,REGULAR,3865944,422132,113.0
348,A002,R051,02-03-06,05-05-11,20:00:00,REGULAR,3867479,422161,1535.0
349,A002,R051,02-03-06,05-06-11,00:00:00,REGULAR,3867740,422165,261.0
350,A002,R051,02-03-06,05-06-11,04:00:00,REGULAR,3867762,422165,22.0
351,A002,R051,02-03-06,05-06-11,08:00:00,REGULAR,3867868,422167,106.0
352,A002,R051,02-03-06,05-06-11,12:00:00,REGULAR,3868335,422171,467.0
353,A002,R051,02-03-06,05-06-11,16:00:00,REGULAR,3868703,422179,368.0
354,A002,R051,02-03-06,05-06-11,20:00:00,REGULAR,3869377,422188,674.0
355,A002,R051,02-05-00,05-01-11,00:00:00,REGULAR,634,0,0.0
356,A002,R051,02-05-00,05-01-11,04:00:00,REGULAR,634,0,0.0
357,A002,R051,02-05-00,05-01-11,08:00:00,REGULAR,634,0,0.0
358,A002,R051,02-05-00,05-01-11,12:00:00,REGULAR,634,0,0.0
359,A002,R051,02-05-00,05-01-11,16:00:00,REGULAR,634,0,0.0
360,A002,R051,02-05-00,05-01-11,20:00:00,REGULAR,634,0,0.0
361,A002,R051,02-05-00,05-02-11,00:00:00,REGULAR,634,0,0.0
362,A002,R051,02-05-00,05-02-11,04:00:00,REGULAR,634,0,0.0
363,A002,R051,02-05-00,05-02-11,08:00:00,REGULAR,634,0,0.0
364,A002,R051,02-05-00,05-02-11,12:00:00,REGULAR,634,0,0.0
365,A002,R051,02-05-00,05-02-11,16:00:00,REGULAR,634,0,0.0
366,A002,R051,02-05-00,05-02-11,20:00:00,REGULAR,634,0,0.0
367,A002,R051,02-05-00,05-03-11,00:00:00,REGULAR,635,0,1.0
368,A002,R051,02-05-00,05-03-11,04:00:00,REGULAR,635,0,0.0
369,A002,R051,02-05-00,05-03-11,08:00:00,REGULAR,635,0,0.0
370,A002,R051,02-05-00,05-03-11,12:00:00,REGULAR,635,0,0.0
